name,degree,address,menu
송림식당,3.8,서울 광진구 자양번영로 79
서북면옥,3.6,서울 광진구 자양로 199-1 1층
멕시칼리,4.6,서울 광진구 천호대로 634
송화양꼬치,4.3,서울 광진구 동일로18길 70 1층
소문난만두,4.2,서울 광진구 자양로13나길 5 1층
포항막회물회,3.9,서울 광진구 아차산로31길 28 1층
순금이떡볶이,3.1,서울 광진구 자양로43길 43 1층
육일관,4.1,서울 광진구 아차산로31길 10
크래버 대게나라 광장점,3.8,서울 광진구 천호대로 611 1층
영미오리탕 군자점,4.0,서울 광진구 동일로60길 53 천수빌딩 1층
마초쉐프 건대점,3.5,서울 광진구 능동로 125 2층
원조할아버지손두부,4.4,서울 광진구 자양로 324 1층
고고기,4.4,서울 광진구 아차산로 471 CS프라자빌딩 1층
신토불이떡볶이 본점,3.3,서울 광진구 자양로43길 42 1층
뽕사부,3.6,서울 광진구 아차산로 205
은혜즉석떡볶이,3.1,서울 광진구 광나루로 381-1 2층
로니로티 건대점,3.9,서울 광진구 아차산로 225 3층
비스타워커힐서울 명월관,4.0,서울 광진구 워커힐로 177
함흥본가면옥 건대점,3.4,서울 광진구 광나루로 456 1층
도치피자 강변,4.4,서울 광진구 아차산로62길 14-4
소랑도,4.5,서울 광진구 천호대로111길 41 1층
스위트앤카츠 화양직영점,3.6,서울 광진구 광나루로17길 14 1층
중경식객,3.4,서울 광진구 동일로20길 109 1층
동대문곱창,3.6,서울 광진구 뚝섬로27길 37 1층
송화산시도삭면 2호점,4.2,서울 광진구 아차산로30길 33 1층
요비,4.7,서울 광진구 아차산로29길 34 지층
아찌떡볶이,3.4,서울 광진구 아차산로29길 53
고기굽는놈,4.2,서울 광진구 아차산로31길 8
소담촌 아차산역점,3.4,서울 광진구 용마산로 10 3층
엘루이피자 건대점,4.2,서울 광진구 아차산로33길 35 1층
군자대한곱창 본점,3.1,서울 광진구 능동로36길 10 1층
이이요,4.2,서울 광진구 능동로32길 6
천미향,3.0,서울 광진구 능동로 237 2층
우마이도 건대점,3.8,서울 광진구 능동로 135-2 1층
수작나베 강변본점,4.5,서울 광진구 구의강변로 106 삼성쉐르빌 1층 110호
건대참숯벽돌집 본점,4.4,서울 광진구 동일로24길 100-4 1층
하이디라오코리아 건대점,4.3,서울 광진구 능동로 110 스타시티 영존 A동 1층
시옌 건대점,4.0,서울 광진구 능동로 137-8
포비,3.5,서울 광진구 동일로26길 57 1층
도우터,4.4,서울 광진구 아차산로31길 40 1층
열불날개 건대본점,4.1,서울 광진구 동일로24길 86-2 1층
심야식당 후타리,3.4,서울 광진구 동일로22길 32 1층
돕,3.1,서울 광진구 아차산로31길 9
남한강민물매운탕,3.8,서울 광진구 동일로 150 1층
화양시장할머니순대국,3.6,서울 광진구 아차산로 293 1층
만경상회,4.6,서울 광진구 동일로22길 40 1층
마루샤브 구의점,3.1,서울 광진구 아차산로 355 타워더모스트광진아크로텔 지하1층
설빙 서울건대지점,3.3,서울 광진구 아차산로 225 단산화빌딩 2층
호야초밥참치 본점,2.9,서울 광진구 능동로13길 39 한아름건물 1층
민정식당 본점,3.8,서울 광진구 아차산로42길 41-4 1층
복만루 건대점,3.2,서울 광진구 동일로18길 43 1층
릴버거,4.4,서울 광진구 자양강변길 89 1층
비스타워커힐서울 피자힐,3.6,서울 광진구 워커힐로 177
계탄집 본점,4.4,서울 광진구 능동로 31 1층
이화만두,4.1,서울 광진구 능동로 278-1 1층
화양양꼬치,4.0,서울 광진구 아차산로29길 44 1층
에이뿔램 군자점,4.8,서울 광진구 능동로36길 36 2층
경성양고기꼬치구이,4.0,서울 광진구 동일로18길 53 1층
최원석의돼지한판 광장점,3.8,서울 광진구 아차산로 478 1층
고흥순대국머리고기,3.7,서울 광진구 아차산로34길 26 1층
포남딘,4.6,서울 광진구 긴고랑로13길 10 2층 201호
구의동손칼국수,4.5,"서울 광진구 자양로 154 솔렌시아 1층 101, 102호"
라구뜨,4.2,서울 광진구 능동로 90 더클래식500 B동 3층
빠오즈푸,3.9,서울 광진구 광나루로 373 1층
연지민물매운탕칼국수,4.4,서울 광진구 자양번영로 56 1층
콩예원,4.0,서울 광진구 아차산로78길 75
도톰 본점,4.8,서울 광진구 능동로 386 1층
소사면옥,3.8,서울 광진구 능동로 270 윤중빌딩 1층 101호
화기애애 본점,4.1,서울 광진구 아차산로31길 16 1층
양양집 구의점,4.0,서울 광진구 아차산로 457 1층
제주탐하리,4.1,서울 광진구 천호대로101길 11 1층
스시텐 강변점,4.2,서울 광진구 구의강변로 86
건대사시미,3.0,서울 광진구 아차산로33길 23 1층
치바우뼈다귀 중곡점,4.3,서울 광진구 용마산로 38 1층
스타벅스 구의역,3.2,서울 광진구 아차산로 373
